titre;realisateur;date_debut_evenement;date_fin_evenement;cadre;lieu;adresse;arrondissement;adresse_complete;geo_coordinates
BEBE/QUI DE NOUS DEUX;CHARLES BELMONT;2005-01-03;2005-01-03;DOMAINE PUBLIC;PARC;DE CHOISY;75013;PARC DE CHOISY 75013 Paris France;48.827863, 2.360171
BEBE/QUI DE NOUS DEUX;CHARLES BELMONT;2005-02-17;2005-02-17;EXTERIEUR;RUE;D'ALESIA;75014;RUE D'ALESIA 75014 Paris France;48.828302, 2.325438
BEBE/QUI DE NOUS DEUX;CHARLES BELMONT;2005-02-16;2005-02-16;EXTERIEUR;RUE;DE TOLBIAC;75013;RUE DE TOLBIAC 75013 Paris France;48.826153, 2.359258
CELIBATAIRES;JEAN MICHEL VERNER;2005-08-04;2005-08-04;EXTERIEUR;ALLEE;VIVALDI;75012;ALLEE VIVALDI 75012 Paris France;48.841523, 2.39135
FRAGMENTS;FRANCK LLOPIS;2005-02-26;2005-02-26;EXTERIEUR;BOULEVARD;DE L'HOPITAL;75013;BOULEVARD DE L'HOPITAL 75013 Paris France;48.837789, 2.360192
LE SHEITAN;KIM CHAPIRON;2005-03-31;2005-03-31;EXTERIEUR;RUE;AUGER;75020;RUE AUGER 75020 Paris France;48.851147, 2.399407
FAUTEUILS D'ORCHESTRE;DANIELE THOMPSON;2005-05-17;2005-05-17;EXTERIEUR;AVENUE;MONTAIGNE;75008;AVENUE MONTAIGNE 75008 Paris France;48.867539, 2.307055
FAUTEUILS D'ORCHESTRE;DANIELE THOMPSON;2005-04-18;2005-04-18;EXTERIEUR;AVENUE;DES CHAMPS ELYSEES;75008;AVENUE DES CHAMPS ELYSEES 75008 Paris France;48.869576, 2.30825
FAUTEUILS D'ORCHESTRE;DANIELE THOMPSON;2005-01-04;2005-01-04;EXTERIEUR;PLACE;DE L'ALMA;75008;PLACE DE L'ALMA 75008 Paris France;48.864607, 2.301422
TOI ET MOI;JULIE LOPES CURVAL;2005-04-22;2005-04-22;EXTERIEUR;QUAI;FRANCOIS MAURIAC;75013;QUAI FRANCOIS MAURIAC 75013 Paris France;48.834138, 2.377319
TOI ET MOI;JULIE LOPES CURVAL;2005-04-05;2005-04-05;EXTERIEUR;RUE;ARSENE HOUSSAYE;75008;RUE ARSENE HOUSSAYE 75008 Paris France;48.874146, 2.298853
COMBIEN TU M'AIMES ?;BERTRAND BLIER;2005-08-04;2005-08-04;EXTERIEUR;PLACE;FRANZ LISZT;75010;PLACE FRANZ LISZT 75010 Paris France;48.87772, 2.35192
LE CACTUS/HYPERCONDRIAQUE;MICHEL MUNZ;2005-04-18;2005-04-18;EXTERIEUR;PONT;LOUIS PHILIPPE;75004;PONT LOUIS PHILIPPE 75004 Paris France;48.853754, 2.354315
OLE;FLORENCE QUENTIN;2005-04-22;2005-04-22;EXTERIEUR;AVENUE;FRANKLIN ROOSEVELT;75008;AVENUE FRANKLIN ROOSEVELT 75008 Paris France;48.869169, 2.310126
L'ANNIVERSAIRE;DIANE KURYS;2005-04-21;2005-04-21;EXTERIEUR;RUE;DE MEDICIS;75006;RUE DE MEDICIS 75006 Paris France;48.848421, 2.339438
LE HUITIEME PECHE;DANIEL LEGER;2005-05-21;2005-05-21;EXTERIEUR;BERGES;DU VERT GALANT;75001;BERGES DU VERT GALANT 75001 Paris France;48.86, 2.341111
LE HUITIEME PECHE;DANIEL LEGER;2005-04-22;2005-04-22;DOMAINE PUBLIC;BOIS;DE BOULOGNE;75016;BOIS DE BOULOGNE 75016 Paris France;48.862449, 2.249167
LE HUITIEME PECHE;DANIEL LEGER;2005-04-21;2005-04-21;EXTERIEUR;PLACE;DU PONT NEUF;75001;PLACE DU PONT NEUF 75001 Paris France;48.857009, 2.341427
EL AMOR Y LA CIUDAD;TERESA CONSTANTINI;2005-04-25;2005-04-26;EXTERIEUR;AVENUE;VAN DYCK;75008;AVENUE VAN DYCK 75008 Paris France;48.878411, 2.30616
EL AMOR Y LA CIUDAD;TERESA CONSTANTINI;2005-04-25;2005-04-26;EXTERIEUR;PLACE;DE LA REPUBLIQUE DOMINICAINE;75008;PLACE DE LA REPUBLIQUE DOMINICAINE 75008 Paris France;48.880451, 2.309134
LES INVITES DE MON PERE;ANNE LE NY;2009-05-15;2009-05-15;EXTERIEUR;AVENUE;DE VILLIERS;75017;AVENUE DE VILLIERS 75017 Paris France;48.884033, 2.303704
DEMAIN, A L'AUBE;GAEL CABOUAT;2009-04-25;2009-04-26;EXTERIEUR;RUE;DU JOUR;75001;RUE DU JOUR 75001 Paris France;
DEMAIN, A L'AUBE;GAEL CABOUAT;2009-04-27;2009-04-27;EXTERIEUR;RUE;SAINT MARTIN;75004;RUE SAINT MARTIN 75004 Paris France;48.859176, 2.350345
DEMAIN, A L'AUBE;GAEL CABOUAT;2009-04-17;2009-04-17;EXTERIEUR;RUE;DU CLOITRE SAINT MERI;75004;RUE DU CLOITRE SAINT MERI 75004 Paris France;
DEMAIN, A L'AUBE;GAEL CABOUAT;2009-04-21;2009-04-22;EXTERIEUR;RUE;SAINT MARTIN;75004;RUE SAINT MARTIN 75004 Paris France;48.859176, 2.350345
DEMAIN, A L'AUBE;GAEL CABOUAT;2009-04-26;2009-04-27;EXTERIEUR;RUE;SAINT MARTIN;75004;RUE SAINT MARTIN 75004 Paris France;48.859176, 2.350345
DEMAIN, A L'AUBE;GAEL CABOUAT;2009-04-18;2009-04-18;EXTERIEUR;RUE;SAINT MARTIN;75004;RUE SAINT MARTIN 75004 Paris France;48.859176, 2.350345
SCUSA MA TI VOGLIO;FREDERICO MOCCIA;2009-05-13;2009-05-13;EXTERIEUR;PONT;DES ARTS;75006;PONT DES ARTS 75006 Paris France;48.858795, 2.337747
JOSEPH ET LA FILLE;XAVIER DE CHOUDENS;2009-06-17;2009-06-17;EXTERIEUR;AVENUE;HENRI MARTIN;75016;AVENUE HENRI MARTIN 75016 Paris France;
LES MAINS LIBRES;BRIGITTE SY;2009-05-06;2009-05-06;EXTERIEUR;RUE;D'ORSEL;75018;RUE D'ORSEL 75018 Paris France;
LES MAINS LIBRES;BRIGITTE SY;2009-05-25;2009-05-25;EXTERIEUR;PONT;CARDINET;75017;PONT CARDINET 75017 Paris France;
LES MAINS LIBRES;BRIGITTE SY;2009-01-06;2009-01-06;EXTERIEUR;ROND POINT;DE LA PORTE MAILLOT;75016;ROND POINT DE LA PORTE MAILLOT 75016 Paris France;
RENDEZ VOUS AVEC UN ANGE / OU VAS TU JUDITH;DE DARUVAR/THOMAS;2009-06-15;2009-06-15;EXTERIEUR;RUE;D'ALSACE;75010;RUE D'ALSACE 75010 Paris France;48.877875, 2.3583
RENDEZ VOUS AVEC UN ANGE / OU VAS TU JUDITH;DE DARUVAR/THOMAS;2009-10-07;2009-10-07;EXTERIEUR;RUE;DE VAUGIRARD;75015;RUE DE VAUGIRARD 75015 Paris France;48.84312, 2.313183
RENDEZ VOUS AVEC UN ANGE / OU VAS TU JUDITH;DE DARUVAR/THOMAS;2009-03-07;2009-03-07;EXTERIEUR;RUE;DES MESSAGERIES;75010;RUE DES MESSAGERIES 75010 Paris France;
RENDEZ VOUS AVEC UN ANGE / OU VAS TU JUDITH;DE DARUVAR/THOMAS;2009-09-06;2009-09-06;EXTERIEUR;RUE;DE COURCELLES;75017;RUE DE COURCELLES 75017 Paris France;48.881252, 2.301023
RENDEZ VOUS AVEC UN ANGE / OU VAS TU JUDITH;DE DARUVAR/THOMAS;2009-03-06;2009-03-06;EXTERIEUR;QUAI;DE JEMMAPES;75010;QUAI DE JEMMAPES 75010 Paris France;48.876681, 2.365244
RENDEZ VOUS AVEC UN ANGE / OU VAS TU JUDITH;DE DARUVAR/THOMAS;2009-02-07;2009-02-07;EXTERIEUR;RUE;DES MESSAGERIES;75010;RUE DES MESSAGERIES 75010 Paris France;
TUTTO L'AMORE DEL MUNDO;RICCARDO GRANDI;2009-09-06;2009-09-06;DOMAINE PUBLIC;PORT;DE MONTEBELLO;75005;PORT  DE MONTEBELLO 75005 Paris France;
TUTTO L'AMORE DEL MUNDO;RICCARDO GRANDI;2009-10-06;2009-10-06;EXTERIEUR;COURS;LA REINE;75008;COURS LA REINE 75008 Paris France;48.864827, 2.3142
TUTTO L'AMORE DEL MUNDO;RICCARDO GRANDI;2009-08-06;2009-08-06;DOMAINE PUBLIC;PORT;DE LA TOURNELLE;75005;PORT  DE LA TOURNELLE 75005 Paris France;
TUTTO L'AMORE DEL MUNDO;RICCARDO GRANDI;2009-11-06;2009-11-06;EXTERIEUR;PLACE;VALADON;75018;PLACE VALADON 75018 Paris France;
THE WOMAN WHO DREAMT OF A MAN;PER FLY;2009-07-06;2009-07-06;EXTERIEUR;RUE;DE L'ALBONI;75016;RUE DE L'ALBONI 75016 Paris France;48.857666, 2.285464
THE WOMAN WHO DREAMT OF A MAN;PER FLY;2009-04-06;2009-04-06;EXTERIEUR;RUE;DE L'ALBONI;75016;RUE DE L'ALBONI 75016 Paris France;48.857666, 2.285464
CA COMMENCE PAR LA FIN;MICHAEL COHEN;2009-01-07;2009-01-07;EXTERIEUR;RUE;CONDORCET;75009;RUE CONDORCET 75009 Paris France;48.88017, 2.343757
J'PLEURE PAS;A ET N GIRAUD;2009-08-07;2009-08-07;EXTERIEUR;RUE;JUSTE METIVIER;75018;RUE JUSTE METIVIER 75018 Paris France;
J'PLEURE PAS;A ET N GIRAUD;2009-06-15;2009-06-15;EXTERIEUR;PASSAGE;PLANTIN;75020;PASSAGE PLANTIN 75020 Paris France;48.871136, 2.388429
L'AMOUR C'EST MIEUX A DEUX;D.FARRUGIA/A.LEFORT;2009-07-16;2009-07-16;EXTERIEUR;AVENUE;INGRES;75016;AVENUE INGRES 75016 Paris France;48.85738, 2.267647
L'AMOUR C'EST MIEUX A DEUX;D.FARRUGIA/A.LEFORT;2009-06-30;2009-06-30;EXTERIEUR;PLACE;LEONARD BERNSTEIN;75012;PLACE LEONARD BERNSTEIN 75012 Paris France;
L'AMOUR C'EST MIEUX A DEUX;D.FARRUGIA/A.LEFORT;2009-07-17;2009-07-17;EXTERIEUR;RUE;DE HARLAY;75001;RUE DE HARLAY 75001 Paris France;48.856581, 2.343213
L'AMOUR C'EST MIEUX A DEUX;D.FARRUGIA/A.LEFORT;2009-06-15;2009-06-15;EXTERIEUR;PONT;AU DOUBLE;75004;PONT AU DOUBLE 75004 Paris France;48.852611, 2.348438
SKATE OR DIE;MIGUEL COURTOIS;2007-09-13;2007-09-13;EXTERIEUR;BOULEVARD;DE ROCHECHOUART;75018;BOULEVARD DE ROCHECHOUART 75018 Paris France;48.882478, 2.341939
SKATE OR DIE;MIGUEL COURTOIS;2007-04-09;2007-04-09;EXTERIEUR;BOULEVARD;DE REIMS;75017;BOULEVARD DE REIMS 75017 Paris France;
SKATE OR DIE;MIGUEL COURTOIS;2007-04-10;2007-04-10;EXTERIEUR;BOULEVARD;SOULT;75012;BOULEVARD SOULT 75012 Paris France;
SKATE OR DIE;MIGUEL COURTOIS;2007-12-09;2007-12-09;EXTERIEUR;BOULEVARD;DE BERCY;75012;BOULEVARD DE BERCY 75012 Paris France;48.839928, 2.382484
SKATE OR DIE;MIGUEL COURTOIS;2007-08-31;2007-08-31;EXTERIEUR;BOULEVARD;DE SEBASTOPOL;75001;BOULEVARD DE SEBASTOPOL 75001 Paris France;48.86294, 2.35066
SKATE OR DIE;MIGUEL COURTOIS;2007-09-10;2007-09-10;EXTERIEUR;BOULEVARD;PASTEUR;75015;BOULEVARD PASTEUR 75015 Paris France;48.842041, 2.313547
SKATE OR DIE;MIGUEL COURTOIS;2007-08-13;2007-08-13;EXTERIEUR;PASSERELLE;DEBILLY;75016;PASSERELLE DEBILLY 75016 Paris France;48.861718, 2.297551
SKATE OR DIE;MIGUEL COURTOIS;2007-08-30;2007-08-30;EXTERIEUR;RUE;MARCADET;75018;RUE MARCADET 75018 Paris France;48.891295, 2.341549
SKATE OR DIE;MIGUEL COURTOIS;2007-01-10;2007-01-10;EXTERIEUR;RUE;DE L'AQUEDUC;75010;RUE DE L'AQUEDUC 75010 Paris France;48.881913, 2.362867
SKATE OR DIE;MIGUEL COURTOIS;2007-09-19;2007-09-19;EXTERIEUR;RUE;VALETTE;75005;RUE VALETTE 75005 Paris France;48.84749, 2.346801
SKATE OR DIE;MIGUEL COURTOIS;2007-09-10;2007-09-10;EXTERIEUR;RUE;RENE COTY;75014;RUE RENE COTY 75014 Paris France;
SKATE OR DIE;MIGUEL COURTOIS;2007-08-18;2007-08-19;EXTERIEUR;RUE;DE MADRID;750008;RUE DE MADRID 750008 Paris France;
SKATE OR DIE;MIGUEL COURTOIS;2007-01-10;2007-01-10;EXTERIEUR;RUE;PERDONNET;75010;RUE PERDONNET 75010 Paris France;
SKATE OR DIE;MIGUEL COURTOIS;2007-08-28;2007-08-28;EXTERIEUR;RUE;NEUVE TOLBIAC (CONTRE-ALLEE);75013;RUE NEUVE TOLBIAC (CONTRE-ALLEE) 75013 Paris France;
SKATE OR DIE;MIGUEL COURTOIS;2007-08-31;2007-08-31;EXTERIEUR;RUE;DE RIVOLI;75001;RUE DE RIVOLI 75001 Paris France;48.860787, 2.341197
SKATE OR DIE;MIGUEL COURTOIS;2007-01-10;2007-01-10;EXTERIEUR;RUE;PHILIPPE DE GIRARD;75010;RUE PHILIPPE DE GIRARD 75010 Paris France;48.8845, 2.361457
SKATE OR DIE;MIGUEL COURTOIS;2007-03-09;2007-03-09;EXTERIEUR;RUE;DE LA MANUTENTION;75016;RUE DE LA MANUTENTION 75016 Paris France;48.864256, 2.295878
SKATE OR DIE;MIGUEL COURTOIS;2007-02-10;2007-02-10;EXTERIEUR;RUE;DE LA VACQUERIE;75011;RUE DE LA VACQUERIE 75011 Paris France;
PARIS;CEDRIC KLAPISCH;2007-01-26;2007-01-26;DOMAINE PUBLIC;PORT;DE LA TOURNELLE;75005;PORT DE LA TOURNELLE 75005 Paris France;48.849811, 2.356086
PARIS;CEDRIC KLAPISCH;2007-01-30;2007-01-30;EXTERIEUR;RUE;DE CHARTRES;75018;RUE DE CHARTRES 75018 Paris France;48.884603, 2.353998
PARIS;CEDRIC KLAPISCH;2006-12-12;2006-12-12;EXTERIEUR;RUE;DE BELLEVILLE;75019;RUE DE BELLEVILLE 75019 Paris France;48.875458, 2.391738
PARIS;CEDRIC KLAPISCH;2006-01-12;2006-01-12;EXTERIEUR;RUE;FABERT;75007;RUE FABERT 75007 Paris France;48.860135, 2.311396
PARIS;CEDRIC KLAPISCH;2006-12-20;2006-12-22;EXTERIEUR;RUE;SAINT JACQUES;75005;RUE SAINT JACQUES 75005 Paris France;48.845594, 2.342679
PARIS;CEDRIC KLAPISCH;2006-11-16;2006-11-16;EXTERIEUR;RUE;SAINT ANTOINE;75004;RUE SAINT ANTOINE 75004 Paris France;48.854144, 2.364118
PARIS;CEDRIC KLAPISCH;2007-01-26;2007-01-26;EXTERIEUR;RUE;SORBIER;75020;RUE SORBIER 75020 Paris France;48.866567, 2.391715
DESIR EN BOITE SOUS UN CIEL ROUGE;VINCENT JEGOU;2006-11-18;2006-11-18;EXTERIEUR;PASSERELLE;DEBILLY;75016;PASSERELLE DEBILLY 75016 Paris France;48.861718, 2.297551
24 HEURES/SWEET POP'S;JALIL LESPERT;2006-06-12;2006-06-12;EXTERIEUR;BOULEVARD;DE ROUCHECHOUART;75018;BOULEVARD DE ROUCHECHOUART 75018 Paris France;48.882478, 2.341939
COMME UN PERE/LES ENFANTS DU TERRAIN VAGUE;MARCO CARMEL;2007-01-20;2007-01-20;EXTERIEUR;BOULEVARD;NEY (HOPITAL BICHAT);75018;BOULEVARD NEY (HOPITAL BICHAT) 75018 Paris France;48.89215, 2.344447
COMME UN PERE/LES ENFANTS DU TERRAIN VAGUE;MARCO CARMEL;2007-01-30;2007-01-31;EXTERIEUR;PLACE;DE LA REUNION;75020;PLACE DE LA REUNION 75020 Paris France;48.855521, 2.400756
COMME UN PERE/LES ENFANTS DU TERRAIN VAGUE;MARCO CARMEL;2007-05-02;2007-08-02;EXTERIEUR;RUE;DES ORTEAUX;75020;RUE DES ORTEAUX 75020 Paris France;48.856281, 2.4043
DEUX VIES PLUS UNE.....;IDIT CEBULA;2007-05-02;2007-05-02;EXTERIEUR;RUE;BONAPARTE;75006;RUE BONAPARTE 75006 Paris France;48.853487, 2.333356
SI C'ETAIT LUI / UN AMOUR EXEMPLAIRE;ANNE MARIE ETIENNE;2007-08-03;2007-08-03;EXTERIEUR;COURS;LA REINE ANGLE PONT ALEXANDRE IIII;75008;COURS LA REINE ANGLE PONT ALEXANDRE IIII 75008 Paris France;48.874167, 2.311111
LES CHANSONS D'AMOUR;CHRISTOPHE HONORE;2007-05-02;2007-05-02;EXTERIEUR;BOULEVARD;DE STRASBOURG/R DU CHATEAU D'EAU;75010;BOULEVARD DE STRASBOURG/R DU CHATEAU D'EAU 75010 Paris France;48.870937, 2.358799
LES CHANSONS D'AMOUR;CHRISTOPHE HONORE;2007-08-01;2007-08-01;EXTERIEUR;BOULEVARD;SAINT MARTIN;75010;BOULEVARD SAINT MARTIN 75010 Paris France;48.868454, 2.359001
LES CHANSONS D'AMOUR;CHRISTOPHE HONORE;2007-01-26;2007-01-26;DOMAINE PUBLIC;CIMETIERE;DU MONTPARNASSE;75014;CIMETIERE DU MONTPARNASSE 75014 Paris France;48.83791, 2.327621
LES CHANSONS D'AMOUR;CHRISTOPHE HONORE;2007-01-19;2007-01-19;EXTERIEUR;RUE;GUSTAVE GOUBLIER;75010;RUE GUSTAVE GOUBLIER 75010 Paris France;48.875508, 2.357853
LES CHANSONS D'AMOUR;CHRISTOPHE HONORE;2007-01-16;2007-01-16;EXTERIEUR;RUE;DE LA BASTILLE/R JEAN BEAUSIRE;75004;RUE DE LA BASTILLE/R JEAN BEAUSIRE 75004 Paris France;48.853428, 2.358279
LES CHANSONS D'AMOUR;CHRISTOPHE HONORE;2007-01-18;2007-01-18;EXTERIEUR;RUE;GUSTAVE GOUBLIER;75010;RUE GUSTAVE GOUBLIER 75010 Paris France;48.875508, 2.357853
CE SOIR, JE DORS CHEZ TOI;OLIVIER BAROUX;2007-07-02;2007-07-02;EXTERIEUR;BOULEVARD;EDGAR QUINET/R DE LA GAITE (ANGLE);75009;BOULEVARD EDGAR QUINET/R DE LA GAITE (ANGLE) 75009 Paris France;48.878281, 2.336967
CE SOIR, JE DORS CHEZ TOI;OLIVIER BAROUX;2007-03-02;2007-03-02;EXTERIEUR;QUAI;MALAQUAIS;75006;QUAI MALAQUAIS 75006 Paris France;48.858164, 2.334424
CE SOIR, JE DORS CHEZ TOI;OLIVIER BAROUX;2007-01-03;2007-01-03;EXTERIEUR;RUE;DU CHATEAU D'EAU;75010;RUE DU CHATEAU D'EAU 75010 Paris France;48.870937, 2.358799
CE SOIR, JE DORS CHEZ TOI;OLIVIER BAROUX;2007-07-02;2007-07-02;EXTERIEUR;RUE;DU MAINE;75014;RUE DU MAINE 75014 Paris France;48.840623, 2.322745
CE SOIR, JE DORS CHEZ TOI;OLIVIER BAROUX;2007-05-02;2007-05-02;EXTERIEUR;RUE;LUCIEN SAMPAIX;75010;RUE LUCIEN SAMPAIX 75010 Paris France;48.872631, 2.361104
UN BAISER S'IL VOUS PLAIT;EMMANUEL MOURET;2007-02-02;2007-02-02;DOMAINE PUBLIC;PARC;MONCEAU;75008;PARC MONCEAU 75008 Paris France;48.880744, 2.311696
UN BAISER S'IL VOUS PLAIT;EMMANUEL MOURET;2007-01-31;2007-01-31;EXTERIEUR;PARVIS;DE L'EGLISE;75010;PARVIS DE L'EGLISE 75010 Paris France;50.682394, 4.371231
UN BAISER S'IL VOUS PLAIT;EMMANUEL MOURET;2007-01-31;2007-01-31;EXTERIEUR;RUE;FENELON;75010;RUE FENELON 75010 Paris France;48.87869, 2.351438
LA FABRIQUE DES SENTIMENTS (EXCLUSIF);JEAN MARC MOUTOUT;2007-03-16;2007-03-16;EXTERIEUR;BOULEVARD;BONNE NOUVELLE;75010;BOULEVARD BONNE NOUVELLE 75010 Paris France;48.870226, 2.350095
LA FABRIQUE DES SENTIMENTS (EXCLUSIF);JEAN MARC MOUTOUT;2007-03-30;2007-03-30;EXTERIEUR;RUE;DE L'ORILLON;75011;RUE DE L'ORILLON 75011 Paris France;48.870094, 2.375969
LA FABRIQUE DES SENTIMENTS (EXCLUSIF);JEAN MARC MOUTOUT;2007-09-02;2007-09-02;EXTERIEUR;RUE;MONTALEMBERT;75007;RUE MONTALEMBERT 75007 Paris France;48.856755, 2.327607
LA FABRIQUE DES SENTIMENTS (EXCLUSIF);JEAN MARC MOUTOUT;2007-01-03;2007-01-03;EXTERIEUR;RUE;ARNAUD GAUTHIER;75018;RUE ARNAUD GAUTHIER 75018 Paris France;48.89215, 2.344447
AINOUR;DAREJAN OMIRBAEV;2007-10-02;2007-11-02;EXTERIEUR;QUAI;BOURBON;75004;QUAI BOURBON 75004 Paris France;48.853023, 2.355285
AINOUR;DAREJAN OMIRBAEV;2007-10-02;2007-11-02;EXTERIEUR;RUE;SAINT RUSTIQUE;75018;RUE SAINT RUSTIQUE 75018 Paris France;48.88704, 2.340559
MODERN LOVE;STEPHANE KAZANDJIAN;2007-06-03;2007-06-03;EXTERIEUR;AVENUE;FRANKLIN D. ROOSEVELT;75008;AVENUE FRANKLIN D. ROOSEVELT 75008 Paris France;48.869169, 2.310126
MODERN LOVE;STEPHANE KAZANDJIAN;2007-06-03;2007-06-03;EXTERIEUR;PONT;ALEXANDRE III;75008;PONT ALEXANDRE III 75008 Paris France;48.863669, 2.313547
MODERN LOVE;STEPHANE KAZANDJIAN;2007-02-13;2007-02-13;EXTERIEUR;PONT;DES ARTS;75006;PONT DES ARTS 75006 Paris France;48.858795, 2.337747
MODERN LOVE;STEPHANE KAZANDJIAN;2007-03-29;2007-03-30;EXTERIEUR;PONT;DE SULLY;75005;PONT DE SULLY 75005 Paris France;48.849592, 2.357326
MODERN LOVE;STEPHANE KAZANDJIAN;2007-02-13;2007-02-13;EXTERIEUR;QUAI;DE LA TOURNELLE;75005;QUAI DE LA TOURNELLE 75005 Paris France;48.85042, 2.353546
BLACK;PIERRE LAFFARGUE;2007-02-03;2007-02-03;EXTERIEUR;RUE;MARCADET;75018;RUE MARCADET 75018 Paris France;48.891295, 2.341549
BLACK;PIERRE LAFFARGUE;2007-02-03;2007-02-03;EXTERIEUR;RUE;DEJEAN;75018;RUE DEJEAN 75018 Paris France;48.887114, 2.350969
UN CONTE DE NOEL;ARNAUD DESPLECHIN;2007-01-03;2007-01-03;EXTERIEUR;AVENUE;DENFERT ROCHEREAU;75014;AVENUE DENFERT ROCHEREAU 75014 Paris France;48.836493, 2.334504
UN CONTE DE NOEL;ARNAUD DESPLECHIN;2007-01-03;2007-01-03;EXTERIEUR;RUE;DU FAUBOURG SAINT JACQUES;75014;RUE DU FAUBOURG SAINT JACQUES 75014 Paris France;48.835865, 2.337753
LES DEUX MONDES;DANIEL COHEN;2007-06-03;2007-06-03;EXTERIEUR;AVENUE;DE LA PORT;75011;AVENUE DE LA PORT 75011 Paris France;48.866795, 2.364288
LES DEUX MONDES;DANIEL COHEN;2007-03-19;2007-03-19;EXTERIEUR;RUE;SAINT BERNARD ANGLE SAINT ANTOINE;75011;RUE SAINT BERNARD ANGLE SAINT ANTOINE 75011 Paris France;48.857993, 2.381153
LES DEUX MONDES;DANIEL COHEN;2007-06-04;2007-06-04;EXTERIEUR;RUE;SEDILLOT;75007;RUE SEDILLOT 75007 Paris France;48.858872, 2.301673
LES DEUX MONDES;DANIEL COHEN;2007-03-14;2007-03-14;EXTERIEUR;RUE;DU FAUBOURG SAINT ANTOINE;75011;RUE DU FAUBOURG SAINT ANTOINE 75011 Paris France;48.850435, 2.381515
LES DEUX MONDES;DANIEL COHEN;2007-03-16;2007-03-16;EXTERIEUR;RUE;SAINT BERNARD;75011;RUE SAINT BERNARD 75011 Paris France;48.851878, 2.381682
LES DEUX MONDES;DANIEL COHEN;2007-05-03;2007-06-03;EXTERIEUR;RUE;AMELOT ANGLE RUE SCARON;75011;RUE AMELOT ANGLE RUE SCARON 75011 Paris France;48.857993, 2.381153
LES DEUX MONDES;DANIEL COHEN;2007-03-19;2007-03-19;EXTERIEUR;RUE;DU FAUBOURG SAINT ANTOINE/ST BERNARD;75011;RUE DU FAUBOURG SAINT ANTOINE/ST BERNARD 75011 Paris France;48.857993, 2.381153
LE TUEUR;CEDRIC ANGER;2007-04-13;2007-04-13;EXTERIEUR;RUE;DES PIROGUES DE BERCY;75012;RUE DES PIROGUES DE BERCY 75012 Paris France;48.832849, 2.387039
NOTRE UNIVERS IMPITOYABLE;LEA FRAZER;2007-04-24;2007-04-24;EXTERIEUR;AVENUE;PIERRE MENDES FRANCE;75013;AVENUE PIERRE MENDES FRANCE 75013 Paris France;48.839212, 2.369786
NOTRE UNIVERS IMPITOYABLE;LEA FRAZER;2007-03-04;2007-03-04;EXTERIEUR;ESPLANADE;DE LA BNF;75013;ESPLANADE DE LA BNF 75013 Paris France;
NOTRE UNIVERS IMPITOYABLE;LEA FRAZER;2007-03-04;2007-03-04;EXTERIEUR;PASSERELLE;SIMONE DE BEAUVOIR;75013;PASSERELLE SIMONE DE BEAUVOIR 75013 Paris France;
NOTRE UNIVERS IMPITOYABLE;LEA FRAZER;2007-04-30;2007-04-30;DOMAINE PUBLIC;SQUARE;GEORGES DUHAMEL;75013;SQUARE GEORGES DUHAMEL 75013 Paris France;
TAKEN;PIERRE MOREL;2007-04-04;2007-04-04;EXTERIEUR;PASSERELLE;DES ARTS;75001;PASSERELLE DES ARTS 75001 Paris France;48.858795, 2.337747
TAKEN;PIERRE MOREL;2007-02-04;2007-02-04;EXTERIEUR;QUAI;HENRI IV;75004;QUAI HENRI IV 75004 Paris France;48.848918, 2.362479
TAKEN;PIERRE MOREL;2007-05-24;2007-05-24;EXTERIEUR;RUE;DE L'ARBRE SEC;75001;RUE DE L'ARBRE SEC 75001 Paris France;48.860419, 2.342325
TAKEN;PIERRE MOREL;2007-05-24;2007-05-24;EXTERIEUR;RUE;DE L'AMIRAL COLIGNY;75001;RUE DE L'AMIRAL COLIGNY 75001 Paris France;48.859965, 2.340362
TAKEN;PIERRE MOREL;2007-03-29;2007-03-29;EXTERIEUR;RUE;JEANNE D'ARC/BD VINCENT AURIOL;75013;RUE JEANNE D'ARC/BD VINCENT AURIOL 75013 Paris France;
WAITING IN BEIJING;ALAN ZHANG;2007-03-21;2007-03-21;EXTERIEUR;PONT;NEUF;75001;PONT NEUF 75001 Paris France;48.857347, 2.341531
LE NOUVEAU PROTOCOLE;THOMAS VINCENT;2007-03-28;2007-03-28;EXTERIEUR;AVENUE;CARTELLIER;75020;AVENUE CARTELLIER 75020 Paris France;
LE NOUVEAU PROTOCOLE;THOMAS VINCENT;2007-03-30;2007-03-30;EXTERIEUR;RUE;LOUIS LUMIERE;75020;RUE LOUIS LUMIERE 75020 Paris France;
LE NOUVEAU PROTOCOLE;THOMAS VINCENT;2007-04-24;2007-04-25;EXTERIEUR;RUE;HENRI DUVERNOIS;75020;RUE HENRI DUVERNOIS 75020 Paris France;
LE NOUVEAU PROTOCOLE;THOMAS VINCENT;2007-03-30;2007-03-30;EXTERIEUR;RUE;LUCIEN SAMBEAU;75020;RUE LUCIEN SAMBEAU 75020 Paris France;
LE NOUVEAU PROTOCOLE;THOMAS VINCENT;2007-11-04;2007-11-04;EXTERIEUR;RUE;DU LAOS;75015;RUE DU LAOS 75015 Paris France;
LES FEMMES DE L'OMBRE;JEAN-PAUL SALOME;2007-05-27;2007-05-27;EXTERIEUR;PLACE;DE LA CONCORDE;75008;PLACE DE LA CONCORDE 75008 Paris France;48.865519, 2.321454
