titre;realisateur;date_debut_evenement;date_fin_evenement;cadre;lieu;adresse;arrondissement;adresse_complete;geo_coordinates
L'INSTINCT DE MORT ET L'ENNEMI PUBLIC N°1;JEAN FRANCOIS RICHET;2007-08-14;2007-08-14;EXTERIEUR;PLACE;DE LA PORT;75018;PLACE DE LA PORT 75018 Paris France;
L'INSTINCT DE MORT ET L'ENNEMI PUBLIC N°1;JEAN FRANCOIS RICHET;2007-03-12;2007-03-12;EXTERIEUR;RUE;FONTAINE;75009;RUE FONTAINE 75009 Paris France;48.882139, 2.333733
TU PEUX GARDER UN SECRET;ALEXANDRE ARCADY;2007-06-27;2007-06-27;EXTERIEUR;AVENUE;PAUL DOUMER;75016;AVENUE PAUL DOUMER 75016 Paris France;
TU PEUX GARDER UN SECRET;ALEXANDRE ARCADY;2007-05-22;2007-05-22;EXTERIEUR;PLACE;DE LA CONCORDE;75008;PLACE DE LA CONCORDE 75008 Paris France;48.865519, 2.321454
TU PEUX GARDER UN SECRET;ALEXANDRE ARCADY;2007-06-07;2007-06-07;EXTERIEUR;PLACE;d'IENA;75016;PLACE d'IENA 75016 Paris France;
TU PEUX GARDER UN SECRET;ALEXANDRE ARCADY;2007-06-27;2007-06-27;EXTERIEUR;RUE;SAINT HONORE;75001;RUE SAINT HONORE 75001 Paris France;48.864651, 2.33251
TU PEUX GARDER UN SECRET;ALEXANDRE ARCADY;2007-06-27;2007-06-27;EXTERIEUR;RUE;BOIS;75008;RUE BOIS 75008 Paris France;48.874167, 2.311111
TU PEUX GARDER UN SECRET;ALEXANDRE ARCADY;2007-05-29;2007-05-29;EXTERIEUR;SQUARE;ALBONI;75016;SQUARE ALBONI 75016 Paris France;
SANS ETAT D'AME/L'ECART;VINCENZO MARANO;2007-06-18;2007-06-18;EXTERIEUR;BOULEVARD;DE REUILLY;75012;BOULEVARD DE REUILLY 75012 Paris France;
SANS ETAT D'AME/L'ECART;VINCENZO MARANO;2007-11-06;2007-12-06;DOMAINE PUBLIC;SQUARE;DE LA PLACE DAUPHINE;75001;SQUARE DE LA PLACE DAUPHINE 75001 Paris France;
LE PREMIER JOUR DU RESTE DE TA VIE;REMI BEZANCON;2007-07-06;2007-07-06;EXTERIEUR;RUE;PIERRE MENDES FRANCE;75013;RUE PIERRE MENDES FRANCE 75013 Paris France;
