route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
990256,100,"92","(GARE MONTPARNASSE <-> PORTE DE CHAMPERRET) - Retour",,3,,FFFFFF,000000
990338,100,"94","(GARE MONTPARNASSE <-> LOUISON BOBET) - Aller",,3,,FFFFFF,000000
990339,100,"94","(GARE MONTPARNASSE <-> LOUISON BOBET) - Retour",,3,,FFFFFF,000000
990340,100,"94","(GARE SAINT-LAZARE <-> LOUISON BOBET) - Aller",,3,,FFFFFF,000000
990341,100,"94","(GARE SAINT-LAZARE <-> LOUISON BOBET) - Retour",,3,,FFFFFF,000000
990293,100,"95","(PORTE DE VANVES <-> PORTE DE MONTMARTRE) - Aller",,3,,FFFFFF,000000
990294,100,"95","(PORTE DE VANVES <-> PORTE DE MONTMARTRE) - Retour",,3,,FFFFFF,000000
990023,100,"96","(GARE MONTPARNASSE <-> PORTE DES LILAS) - Aller",,3,,FFFFFF,000000
990024,100,"96","(GARE MONTPARNASSE <-> PORTE DES LILAS) - Retour",,3,,FFFFFF,000000
990257,100,"PC1","(PT DU GARIGLIANO - HOP G. POMPIDOU <-> PORTE DE CHAMPERRET) - Aller",,3,,FFFFFF,000000
990258,100,"PC1","(PT DU GARIGLIANO - HOP G. POMPIDOU <-> PORTE DE CHAMPERRET) - Retour",,3,,FFFFFF,000000
989897,100,"PC3","(PORTE MAILLOT - PERSHING <-> PORTE DE LA CHAPELLE-METRO) - Aller",,3,,FFFFFF,000000
989898,100,"PC3","(PORTE MAILLOT - PERSHING <-> PORTE DE LA CHAPELLE-METRO) - Retour",,3,,FFFFFF,000000
989941,100,"101","(JOINVILLE LE PONT-RER <-> CHAMPIGNY SUR MARNE-CAMPING) - Aller",,3,,FFFFFF,000000
989942,100,"101","(JOINVILLE LE PONT-RER <-> CHAMPIGNY SUR MARNE-CAMPING) - Retour",,3,,FFFFFF,000000
872215,100,"102","(PARTIEL <-> MAIRE DE MONTREUIL-METRO) - Aller",,3,,FFFFFF,000000
990025,100,"102","(GAMBETTA <-> BOIS-PERRIER-RER - ROSNY 2) - Aller",,3,,FFFFFF,000000
990026,100,"102","(GAMBETTA <-> BOIS-PERRIER-RER - ROSNY 2) - Retour",,3,,FFFFFF,000000
872278,100,"103","(ECOLE VETERINAIRE DE MAISONS-ALFORT) - Retour",,3,,FFFFFF,000000
872279,100,"103","(ECOLE VETERINAIRE DE MAISONS-ALFORT) - Retour",,3,,FFFFFF,000000
990457,100,"103","(ECOLE VETERINAIRE DE MAISONS-ALFORT <-> RUNGIS-MARCHE INTERNATIONAL) - Aller",,3,,FFFFFF,000000
990458,100,"103","(ECOLE VETERINAIRE DE MAISONS-ALFORT <-> RUNGIS-MARCHE INTERNATIONAL) - Retour",,3,,FFFFFF,000000
990459,100,"103","(ECOLE VETERINAIRE DE MAISONS-ALFORT <-> GEORGES HALGOULT) - Aller",,3,,FFFFFF,000000
990460,100,"103","(ECOLE VETERINAIRE DE MAISONS-ALFORT <-> GEORGES HALGOULT) - Retour",,3,,FFFFFF,000000
990461,100,"104","(ECOLE VETERINAIRE DE MAISONS-ALFORT <-> SUCY-BONNEUIL RER) - Aller",,3,,FFFFFF,000000
990462,100,"104","(ECOLE VETERINAIRE DE MAISONS-ALFORT <-> SUCY-BONNEUIL RER) - Retour",,3,,FFFFFF,000000
990463,100,"104","(SUCY-BONNEUIL RER <-> ATELIERS RATP) - Aller",,3,,FFFFFF,000000
990464,100,"104","(SUCY-BONNEUIL RER <-> ATELIERS RATP) - Retour",,3,,FFFFFF,000000
989977,100,"105","(PORTE DES LILAS-METRO <-> MAIRIE DES PAVILLONS SOUS BOIS) - Aller",,3,,FFFFFF,000000
989978,100,"105","(PORTE DES LILAS-METRO <-> MAIRIE DES PAVILLONS SOUS BOIS) - Retour",,3,,FFFFFF,000000
989947,100,"106","(JOINVILLLE LE PONT-RER <-> GARE DE VILLIERS SUR MARNE) - Aller",,3,,FFFFFF,000000
989948,100,"106","(JOINVILLLE LE PONT-RER <-> GARE DE VILLIERS SUR MARNE) - Retour",,3,,FFFFFF,000000
866511,100,"107","(ECOLE VETERINAIRE DE MAISONS-ALFORT <-> LA PIE-ST MAUR) - Retour",,3,,FFFFFF,000000
866512,100,"107","(ECOLE VETERINAIRE DE MAISONS-ALFORT <-> LA PIE-ST MAUR) - Aller",,3,,FFFFFF,000000
866513,100,"107","(ECOLE VETERINAIRE DE MAISONS-ALFORT <-> LA PIE-ST MAUR) - Aller",,3,,FFFFFF,000000
909159,100,"107","(ECOLE VETERINAIRE DE MAISONS-ALFORT <-> LA PIE-ST MAUR) - Aller",,3,,FFFFFF,000000
909160,100,"107","(ECOLE VETERINAIRE DE MAISONS-ALFORT <-> LA PIE-ST MAUR) - Aller",,3,,FFFFFF,000000
909161,100,"107","(ECOLE VETERINAIRE DE MAISONS-ALFORT <-> LA PIE-ST MAUR) - Retour",,3,,FFFFFF,000000
989927,100,"108","(JOINVILLE LE PONT-RER <-> CHAMPIGNY SUR MARNE-JEANNE VACHER) - Aller",,3,,FFFFFF,000000
989928,100,"108","(JOINVILLE LE PONT-RER <-> CHAMPIGNY SUR MARNE-JEANNE VACHER) - Retour",,3,,FFFFFF,000000
989891,100,"109","(PARC DE BERCY <-> TERROIRS DE FRANCE) - Aller",,3,,FFFFFF,000000
989892,100,"109","(PARC DE BERCY <-> TERROIRS DE FRANCE) - Retour",,3,,FFFFFF,000000
989949,100,"110","(JOINVILLE LE PONT-RER <-> GARE DE VILLIERS SUR MARNE) - Aller",,3,,FFFFFF,000000
989950,100,"110","(JOINVILLE LE PONT-RER <-> GARE DE VILLIERS SUR MARNE) - Retour",,3,,FFFFFF,000000
872293,100,"112","(CHATEAU DE VINCENNES <-> CENTRE BUS) - Aller",,3,,FFFFFF,000000
909190,100,"112","(CHATEAU DE VINCENNES <-> LA VARENNE-CHENNEVIERES RER) - Aller",,3,,FFFFFF,000000
909192,100,"112","(CHATEAU DE VINCENNES) - Retour",,3,,FFFFFF,000000
909193,100,"112","(CENTRE BUS) - Retour",,3,,FFFFFF,000000
870269,100,"113","(NOGENT-SUR-MARNE-RER <-> POINTE DE GOURNAY) - Aller",,3,,FFFFFF,000000
990384,100,"113","(NOGENT-SUR-MARNE RER <-> MAIRIE DE CHELLES) - Aller",,3,,FFFFFF,000000
990385,100,"113","(NOGENT-SUR-MARNE RER <-> MAIRIE DE CHELLES) - Retour",,3,,FFFFFF,000000
990386,100,"113","(NOGENT-SUR-MARNE RER <-> CENTRE COMMERCIAL CHELLES 2) - Aller",,3,,FFFFFF,000000
990387,100,"113","(NOGENT-SUR-MARNE RER <-> CENTRE COMMERCIAL CHELLES 2) - Retour",,3,,FFFFFF,000000
990027,100,"115","(PORTE DES LILAS-METRO <-> CHATEAU DE VINCENNES) - Aller",,3,,FFFFFF,000000
990028,100,"115","(PORTE DES LILAS-METRO <-> CHATEAU DE VINCENNES) - Retour",,3,,FFFFFF,000000
870277,100,"116","(VAN DERHEYDEN <-> CHAMPIGNY - SAINT-MAUR RER) - Aller",,3,,FFFFFF,000000
870278,100,"116","(BOIS-PERRIER RER - ROSNY 2 <-> CHAMPIGNY - SAINT-MAUR RER) - Aller",,3,,FFFFFF,000000
870279,100,"116","(BOIS-PERRIER RER - ROSNY 2 <-> LEDRU-ROLLIN - GENERAL DE GAULLE) - Aller",,3,,FFFFFF,000000
870281,100,"116","(VAN DERHEYDEN <-> CHAMPIGNY - SAINT MAUR RER) - Retour",,3,,FFFFFF,000000
870282,100,"116","(VAN DERHEYDEN <-> CHAMPIGNY - SAINT MAUR RER) - Retour",,3,,FFFFFF,000000
870285,100,"116","(LEDRU-ROLLIN - GENERAL DE GAULLE) - Retour",,3,,FFFFFF,000000
910949,100,"116","(BOIS-PERRIER RER - ROSNY 2 <-> CHAMPIGNY - SAINT MAUR RER) - Retour",,3,,FFFFFF,000000
938563,100,"116","((ROSNY-BOIS-PERRIER RER) <-> VAN DERHEYDEN) - Retour",,3,,FFFFFF,000000
990113,100,"117","(CHAMPIGNY-SAINT MAUR-RER <-> PREFECTURE DU VAL DE MARNE) - Aller",,3,,FFFFFF,000000
990114,100,"117","(CHAMPIGNY-SAINT MAUR-RER <-> PREFECTURE DU VAL DE MARNE) - Retour",,3,,FFFFFF,000000
990447,100,"118","(CHATEAU DE VINCENNES <-> VAN DERHEYDEN) - Aller",,3,,FFFFFF,000000
990448,100,"118","(CHATEAU DE VINCENNES <-> VAN DERHEYDEN) - Retour",,3,,FFFFFF,000000
990449,100,"118","(CHATEAU DE VINCENNES <-> NANTEUIL ZI - JULES FERRY) - Aller",,3,,FFFFFF,000000
990450,100,"118","(CHATEAU DE VINCENNES <-> NANTEUIL ZI - JULES FERRY) - Retour",,3,,FFFFFF,000000
990451,100,"118","(NANTEUIL ZI - JULES FERRY <-> VAN DERHEYDEN) - Aller",,3,,FFFFFF,000000
990452,100,"118","(NANTEUIL ZI - JULES FERRY <-> VAN DERHEYDEN) - Retour",,3,,FFFFFF,000000
989903,100,"119","(LES BACONNETS-RER <-> ABBAYE CIMETIERE) - Aller",,3,,FFFFFF,000000
989904,100,"119","(LES BACONNETS-RER <-> ABBAYE CIMETIERE) - Retour",,3,,FFFFFF,000000
989905,100,"119","(LES BACONNETS-RER <-> ABBAYE CIMETIERE) - Aller",,3,,FFFFFF,000000
989906,100,"119","(LES BACONNETS-RER <-> ABBAYE CIMETIERE) - Retour",,3,,FFFFFF,000000
877836,100,"120","(NOGENT SUR MARNE-RER <-> BRY-SUR-MARNE RER) - Aller",,3,,FFFFFF,000000
990233,100,"120","(NOGENT SUR MARNE-RER <-> NOISY-LE-GRAND - MONT D'EST RER) - Aller",,3,,FFFFFF,000000
990234,100,"120","(NOGENT SUR MARNE-RER <-> NOISY-LE-GRAND - MONT D'EST RER) - Retour",,3,,FFFFFF,000000
872220,100,"121","(MAIRIE DE MONTREUIL <-> LYCEE GEORGES CLEMENCEAU) - Aller",,3,,FFFFFF,000000
872221,100,"121","(MAIRIE DE MONTREUIL <-> CHATEAU DE VILLEMOMBLE) - Aller",,3,,FFFFFF,000000
872222,100,"121","(MAIRIE DE MONTREUIL) - Retour",,3,,FFFFFF,000000
990409,100,"122","(GALLIENI-METRO <-> VAL-DE-FONTENAY RER) - Aller",,3,,FFFFFF,000000
990410,100,"122","(GALLIENI-METRO <-> VAL-DE-FONTENAY RER) - Retour",,3,,FFFFFF,000000
990669,100,"122","(GALLIENI-METRO <-> VAL-DE-FONTENAY RER) - Aller",,3,,FFFFFF,000000
990670,100,"122","(GALLIENI-METRO <-> VAL-DE-FONTENAY RER) - Retour",,3,,FFFFFF,000000
869552,100,"123","(MAIRIE D'ISSY-METRO) - Retour",,3,,FFFFFF,000000
989981,100,"123","(MAIRIE D'ISSY-METRO <-> PORTE D'AUTEUIL-METRO) - Aller",,3,,FFFFFF,000000
989982,100,"123","(MAIRIE D'ISSY-METRO <-> PORTE D'AUTEUIL-METRO) - Retour",,3,,FFFFFF,000000
990453,100,"124","(CHATEAU DE VINCENNES <-> VAL DE FONTENAY-RER) - Aller",,3,,FFFFFF,000000
990454,100,"124","(CHATEAU DE VINCENNES <-> VAL DE FONTENAY-RER) - Retour",,3,,FFFFFF,000000
990555,100,"125","(PORTE D'ORLEANS-METRO <-> ECOLE VETERINAIRE DE MAISON-ALFORT) - Aller",,3,,FFFFFF,000000
990556,100,"125","(PORTE D'ORLEANS-METRO <-> ECOLE VETERINAIRE DE MAISON-ALFORT) - Retour",,3,,FFFFFF,000000
990053,100,"126","(PORTE D'ORLEANS-METRO <-> PARC DE SAINT CLOUD) - Aller",,3,,FFFFFF,000000
990054,100,"126","(PORTE D'ORLEANS-METRO <-> PARC DE SAINT CLOUD) - Retour",,3,,FFFFFF,000000
870301,100,"127","(CROIX DE CHAVAUX-METRO) - Retour",,3,,FFFFFF,000000
877781,100,"127","(CROIX DE CHAVAUX-METRO) - Retour",,3,,FFFFFF,000000
910833,100,"127","(CHARLES DE GAULLE) - Retour",,3,,FFFFFF,000000
990455,100,"127","(CROIX DE CHAVAUX-METRO <-> PLACE DE LA RESISTANCE) - Aller",,3,,FFFFFF,000000
990456,100,"127","(CROIX DE CHAVAUX-METRO <-> PLACE DE LA RESISTANCE) - Retour",,3,,FFFFFF,000000
877877,100,"128","(PORTE D'ORLEANS-METRO) - Retour",,3,,FFFFFF,000000
990055,100,"128","(PORTE D'ORLEANS-METRO <-> ROBINSON RER) - Aller",,3,,FFFFFF,000000
990056,100,"128","(PORTE D'ORLEANS-METRO <-> ROBINSON RER) - Retour",,3,,FFFFFF,000000
872225,100,"129","(PORTE DES LILAS-METRO <-> MAIRIE DE MONTREUIL-METRO) - Aller",,3,,FFFFFF,000000
